HATS-47,1.0,301.70,b,0.042690,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-49,1.0,324.60,b,0.045150,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-5,1.0,257.00,b,0.054200,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-50,1.0,717.00,b,0.050460,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-51,1.0,478.00,b,0.046390,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-52,1.0,631.00,b,0.024980,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-53,1.0,613.00,b,0.047530,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-54,1.0,769.00,b,0.037630,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-55,1.0,623.60,b,0.054120,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-56,1.0,577.10,b,0.060430,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-57,1.0,280.00,b,0.034930,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-59,2.0,654.88,b,0.061120,c,2.504000,,,,,,,,,,,,,,,,,,,,,,,,
HATS-6,1.0,148.40,b,0.036230,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-60,1.0,494.30,b,0.047080,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-61,1.0,694.00,b,0.079080,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-62,1.0,516.80,b,0.041630,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-63,1.0,634.80,b,0.040260,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-64,1.0,1083.00,b,0.065620,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-66,1.0,1538.00,b,0.047140,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-67,1.0,982.00,b,0.030320,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-68,1.0,618.20,b,0.050710,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-69,1.0,420.30,b,0.032110,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-7,1.0,257.00,b,0.040120,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-70,1.0,1307.00,b,0.036320,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-72,1.0,127.66,b,0.066517,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-8,1.0,829.00,b,0.046670,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-9,1.0,654.36,b,0.031200,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 100546,1.0,110.02,b,53.000000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 100777,1.0,49.60,b,1.030000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 10180,6.0,39.00,c,0.064120,d,0.128590,e,0.269900,f,0.492900,g,1.427000,h,3.381000,,,,,,,,,,,,,,,,
HD 102117,1.0,39.62,b,0.150000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 102195,1.0,29.36,b,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 102272,1.0,350.01,b,0.510000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 102329,2.0,218.42,b,1.810000,c,,,,,,,,,,,,,,,,,,,,,,,,,
HD 102843,1.0,62.87,b,4.074000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 103197,1.0,57.24,b,0.250000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 103720,1.0,41.60,b,0.049800,,,,,,,,,,,,,,,,,,,,,,,,,,
